Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.114877","Escherichia coli AMR0264","piperacillin/tazobactam","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.80, CI[0.78, 0.82]","Computational Method",,
562,"562.114873","Escherichia coli AMR0279","piperacillin",,"16.0",,"16.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.73, CI[0.39, 1.08]","Computational Method",,
573,"573.62645","Klebsiella pneumoniae AMR180036","meropenem",,"4.0",,"4.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.91, CI[0.89, 0.93]","Computational Method",,
562,"562.114875","Escherichia coli AMR0177","streptomycin","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.90, 1.02]","Computational Method",,
1280,"1280.48292","Staphylococcus aureus AMR9","erythromycin","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.98, CI[0.97, 0.99]","Computational Method",,
573,"573.62641","Klebsiella pneumoniae AMR180022","ceftazidime",,"64.0",,"64.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.90, 0.93]","Computational Method",,
573,"573.62645","Klebsiella pneumoniae AMR180036","imipenem","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.931, F1 score:0.935, AUC:0.950","Computational Method",,
1280,"1280.48293","Staphylococcus aureus AMR6","erythromycin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.959, F1 score:0.962, AUC:0.981","Computational Method",,
562,"562.114875","Escherichia coli AMR0177","chloramphenicol","Resistant",,,,,,,,,,,"SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.93, 0.99]","Computational Method",,
573,"573.62642","Klebsiella pneumoniae AMR180026","colistin",,"8.0",,"8.0","mg/L",,,,,,,"MIC XGBoost Model","202503101","W1 score: 0.65, CI[0.55, 0.75]","Computational Method",,
