Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,Species,combo
562,562.114877,Escherichia coli AMR0264,piperacillin/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.80, CI[0.78, 0.82]",Computational Method,,,Escherichia coli,Escherichia coli | piperacillin/tazobactam
562,562.114875,Escherichia coli AMR0177,streptomycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.96, CI[0.90, 1.02]",Computational Method,,,Escherichia coli,Escherichia coli | streptomycin
1280,1280.48292,Staphylococcus aureus AMR9,erythromycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.98, CI[0.97, 0.99]",Computational Method,,,Staphylococcus aureus,Staphylococcus aureus | erythromycin
573,573.62645,Klebsiella pneumoniae AMR180036,imipenem,Susceptible,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.931, F1 score:0.935, AUC:0.950",Computational Method,,,Klebsiella pneumoniae,Klebsiella pneumoniae | imipenem
1280,1280.48293,Staphylococcus aureus AMR6,erythromycin,Resistant,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.959, F1 score:0.962, AUC:0.981",Computational Method,,,Staphylococcus aureus,Staphylococcus aureus | erythromycin
562,562.114875,Escherichia coli AMR0177,chloramphenicol,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.96, CI[0.93, 0.99]",Computational Method,,,Escherichia coli,Escherichia coli | chloramphenicol
562,562.114871,Escherichia coli AMR0265,trimethoprim/sulfamethoxazole,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.94, CI[0.94, 0.95]",Computational Method,,,Escherichia coli,Escherichia coli | trimethoprim/sulfamethoxazole
611,611.298,Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00437,chloramphenicol,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.90, CI[0.88, 0.91]",Computational Method,,,Salmonella enterica,Salmonella enterica | chloramphenicol
611,611.111,Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00435,sulfamethoxazole,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.95, CI[0.93, 0.97]",Computational Method,,,Salmonella enterica,Salmonella enterica | sulfamethoxazole
562,562.114877,Escherichia coli AMR0264,ampicillin/sulbactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101.0,"F1 score: 0.88, CI[0.79, 0.98]",Computational Method,,,Escherichia coli,Escherichia coli | ampicillin/sulbactam
