regime,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std
Random row-level,Baseline: Antibiotic Majority,0.7041304347826087,0.03621498700198402,0.7040586419753087,0.036236345703752934,0.6899170150873265,0.04714298285623542,0.7040586419753087,0.03623634570375294,0.6480100015575521,0.032643056041187384,0.665,0.08723173161183949,0.7431172839506173,0.06718243275926027,0.29586956521739133,0.03621498700198409
Random row-level,Baseline: Genome+Antibiotic Majority,0.5455357142857142,0.01717445005506372,0.5460185185185186,0.01809365045809892,0.2835036299822857,0.23054415188863184,0.5460185185185186,0.018093650458098968,0.533396787994614,0.008975928771164118,0.275,0.3850730450187341,0.8170370370370371,0.35354754042446973,0.45446428571428565,0.01717445005506372
Random row-level,Baseline: Overall Majority,0.4993788819875776,0.0013888620978259394,0.5,0.0,0.13278008298755187,0.2969052916182293,0.5,0.0,0.4993788819875776,0.0013888620978259394,0.2,0.447213595499958,0.8,0.4472135954999579,0.5006211180124224,0.0013888620978259436
Random row-level,Baseline: Species Majority,0.679083850931677,0.03273711910057939,0.6791512345679013,0.03287568604500035,0.653821475233559,0.06917685968999737,0.6791512345679012,0.032875686045000366,0.6288029874593618,0.02958955708407625,0.6275000000000001,0.153704261489394,0.7308024691358025,0.1423104187239878,0.320916149068323,0.03273711910057935
Random row-level,Baseline: Species+Antibiotic Majority,0.8376552795031056,0.028212196157629633,0.837716049382716,0.028314978656331147,0.8443369805332374,0.02435417593184076,0.837716049382716,0.02831497865633116,0.7748407772899368,0.03369013608865582,0.8800000000000001,0.027386127875258306,0.7954320987654321,0.050020905170966745,0.1623447204968944,0.02821219615762964
Random row-level,Gradient Boosting,0.8239208074534161,0.023491468621190968,0.8239351851851853,0.0235216396660368,0.8200815632160141,0.028911162445900987,0.8980472608024691,0.024158027455031233,0.8584278515691898,0.023045762208754143,0.8074999999999999,0.057689903796071626,0.8403703703703703,0.028678304174331884,0.12825821544588084,0.013589378781846575
Random row-level,Logistic Regression,0.8301785714285714,0.02539075990937466,0.8301543209876543,0.025358605830190416,0.8281475925028383,0.02651881028829794,0.8805576774691358,0.024678898438304675,0.8278240676714411,0.02892502290619554,0.82,0.032596012026013255,0.8403086419753085,0.022966986571688507,0.1365799612022545,0.011217026278742201
Random row-level,Random Forest,0.8513742236024845,0.03282859895076041,0.8514660493827162,0.03300097582189622,0.8557147704434526,0.032252782707762793,0.9020752314814814,0.026448208147385802,0.8623733751581109,0.02678625994383796,0.885,0.0582290734942606,0.8179320987654322,0.04898632869043449,0.12087764786428419,0.024912533287781473
Random row-level,XGBoost,0.8438975155279504,0.027850621804553485,0.843966049382716,0.027967959637922986,0.8492678165122189,0.02775134086559529,0.9024280478395061,0.026057269672323653,0.873650211949444,0.02313458200446679,0.8825,0.05199158585771353,0.8054320987654322,0.046677494416335626,0.11908647865056991,0.01955445945003384
Unseen Species-Antibiotic,Baseline: Antibiotic Majority,0.39168543729283406,0.09127554551669832,0.4483216987068122,0.04455112293736931,0.43048088124159956,0.15399180268527607,0.4483216987068122,0.04455112293736931,0.4797091017633033,0.12290170510630584,0.5614729355200898,0.3353357405185887,0.33517046189353467,0.3194631023797301,0.6083145627071659,0.09127554551669828
