regime,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,brier_mean,brier_std
Leave-One-Species-Out,Baseline: Antibiotic Majority,0.3523640552995392,0.06770390951291709,0.44592475686308886,0.06000024045256807,0.24221601434837908,0.1654191899759582,0.44592475686308886,0.06000024045256807,0.5064471341730526,0.228334998082943,0.31233154919817707,0.3121652845660965,0.5795179645280006,0.3895443803435562,0.6476359447004608,0.06770390951291703
Leave-One-Species-Out,Baseline: Genome+Antibiotic Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Baseline: Overall Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Baseline: Species Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Leave-One-Species-Out,Baseline: Species+Antibiotic Majority,0.3479247311827957,0.14033917978260493,0.5,0.0,0.20047496912700674,0.28539242084798716,0.5,0.0,0.5254086021505376,0.21862456011454914,0.4,0.5477225575051661,0.6,0.5477225575051661,0.6520752688172042,0.14033917978260496
Random row-level,Baseline: Antibiotic Majority,0.7041304347826087,0.03621498700198402,0.7040586419753087,0.036236345703752934,0.6899170150873265,0.04714298285623542,0.7040586419753087,0.03623634570375294,0.6480100015575521,0.032643056041187384,0.665,0.08723173161183949,0.7431172839506173,0.06718243275926027,0.29586956521739133,0.03621498700198409
Random row-level,Baseline: Genome+Antibiotic Majority,0.5455357142857142,0.01717445005506372,0.5460185185185186,0.01809365045809892,0.2835036299822857,0.23054415188863184,0.5460185185185186,0.018093650458098968,0.533396787994614,0.008975928771164118,0.275,0.3850730450187341,0.8170370370370371,0.35354754042446973,0.45446428571428565,0.01717445005506372
Random row-level,Baseline: Overall Majority,0.4993788819875776,0.0013888620978259394,0.5,0.0,0.13278008298755187,0.2969052916182293,0.5,0.0,0.4993788819875776,0.0013888620978259394,0.2,0.447213595499958,0.8,0.4472135954999579,0.5006211180124224,0.0013888620978259436
Random row-level,Baseline: Species Majority,0.679083850931677,0.03273711910057939,0.6791512345679013,0.03287568604500035,0.653821475233559,0.06917685968999737,0.6791512345679012,0.032875686045000366,0.6288029874593618,0.02958955708407625,0.6275000000000001,0.153704261489394,0.7308024691358025,0.1423104187239878,0.320916149068323,0.03273711910057935
Random row-level,Baseline: Species+Antibiotic Majority,0.8376552795031056,0.028212196157629633,0.837716049382716,0.028314978656331147,0.8443369805332374,0.02435417593184076,0.837716049382716,0.02831497865633116,0.7748407772899368,0.03369013608865582,0.8800000000000001,0.027386127875258306,0.7954320987654321,0.050020905170966745,0.1623447204968944,0.02821219615762964
